Skill
Python
Java
C
C++
JavaScript
HTML
CSS
SQL
React
Node.js
Git
GitHub
Machine Learning
Deep Learning
Data Science
TensorFlow
PyTorch
Pandas
NumPy
Scikit-learn
Docker
Kubernetes
AWS
Azure
Flask
Django
FastAPI
MongoDB
MySQL
PostgreSQL
Linux
